draft	milestone	type	size	title	covers	justification	assigned
OBS-@journal-redaction-export	V1	build	M	Add privacy redaction and bug-report export to the journal	GAP-0290	Redaction rules per field class and a bug-report bundle (journal, inspect snapshot, flight-recorder dump) consumed by the INS crash-report client at V3.	OBS-034
OBS-@journal-store	V1	build	L	Build the persistent structured journal with retention and per-Component attribution	GAP-0290	Durable logs from previous boots distinct from the tracing pipeline; required for V1 daily-driving issue tracking and later crash reports.	OBS-035
OBS-@leak-detection-tests	V0.5	build	M	Assert zero leaked kernel objects after every integration test via the inspect interface	GAP-0133	Uses inspect-interface-kernel enumeration to assert no leaked Capabilities, MemoryObjects, Channels or Tasks after each integration test in CI.	OBS-020
OBS-@leak-soak-nightly	V1	build	M	Run nightly multi-hour soak with leak detection on reference hardware	GAP-0133	Second half of GAP-0133: multi-hour desktop soak on the reference machines with leak assertions, scheduled through the LAB soak calendar.	OBS-036
OBS-@lifecycle-events	V0	build	M	Emit lifecycle and ownership trace events for every V0 primitive	INV-1166,INV-0456,INV-0457,INV-0468,INV-0366	Creation, destruction and owner-change events for Component, Task, TaskGroup, Channel, Capability, Operation, MemoryObject and ResourceDomain; Operation submit events carry identity, submitter and parent span. Feeds `os trace` at V0.	OBS-008
OBS-@memory-transfer-history	V0.5	build	S	Record MemoryObject transfer history and property-change events	INV-0453,INV-0320	Transfer history and property-change tracing go beyond the V0 inspect minimum; first needed when the compositor and Image Viewer pass buffers across several Components.	OBS-021
OBS-@os-trace-daily	V1	build	L	Make os trace usable for daily performance and correctness debugging	INV-1209	V1 scope: debugging and tracing tools for daily-driving developers. Record, filter, aggregate, latency histograms, timeline view and live follow.	OBS-037
OBS-@os-trace-flow-sched	V0	build	L	Ship the os trace first cut showing IPC flow, scheduling delays and failures	INV-0464,INV-0465,INV-0460,INV-0461,INV-0462,INV-1209	V0 exit: `os trace` shows IPC flow and scheduling delays for the §59 demo. IPC flow graph between Components, wakeup-to-run per Task, Operation latency, run-queue wait and failure events (Operation errors, Component crashes, revocations).	OBS-009
OBS-@panic-tracking-fleet	V4	build	M	Attribute kernel panics per SystemGeneration and hardware for the beta fleet dashboard		V4 stability program names OBS: kernel panic rate below 1 per 1,000 machine-days. Panic reports carry generation, H-ID and signature so REL's dashboard can attribute regressions.	OBS-053
OBS-@personality-tracing	V1	build	L	Attribute Linux-personality processes and syscalls in os trace and os inspect		V1 daily-driving runs browser and IDE via the Linux personality; the L2 compatibility-overhead benchmark needs syscall-translation events attributed to the owning Component. Windows personality rides on this since Wine runs inside LNX.	OBS-038
OBS-@profiler-sampling-data	V1	build	L	Provide sampling profiles attributed to Task, Component and TaskGroup		Critique missing requirement 31 and V1 scope 'profiler': kernel sampling with attribution to Task and Component rather than threads, flame-graph aggregation by TaskGroup, exportable alongside traces. The profiler UI is SDK's.	OBS-039
OBS-@resource-throttling-events	V0.5	build	S	Emit ResourceDomain throttling and budget-exhaustion events	INV-0454	V0 exposes budgets and consumption; throttling events and kernel-object-limit exhaustion (critique missing req 2) are added once SCH enforces them on real applications.	OBS-022
OBS-@sched-latency-per-intent	V1	build	M	Expose wakeup-to-run latency histograms per Task and intent class	INV-0465,INV-0460	SCH intent classes complete at V1 (Realtime); the V1 audio round-trip gate needs scheduling delay attributed to intent class, not just per Task.	OBS-040
OBS-@soak-leak-hang-report	1.0	docs	S	Publish the 30-day soak leak and hang report for the release candidate		1.0 exit: 30-day release-candidate soak with zero open P0/P1. Runs leak-detection and hang-detection across the soak on the Tier 1 fleet and publishes the result.	OBS-055
OBS-@spike-tracing-substrates	V0	spike	M	Study eBPF, ftrace, Fuchsia tracing and Perfetto for the native tracing layer	INV-0476,INV-1145	Precedes decide-tracing-substrate; critique requires the spikes informing V0 decisions to be explicit V0 tasks. Report compares overhead, in-kernel filtering safety, semantic-event fit and what retained Linux tooling (perf, bpftrace) can still provide.	OBS-010
OBS-@telemetry-local-metrics	V3	build	M	Record crash-free session and kernel panic metrics locally for opt-in telemetry		V3 exit: alpha telemetry from 500 machines with crash-free session rate. OBS defines and records the on-device counters; consent client is INS, intake and dashboards are REL.	OBS-051
OBS-@trace-access-capability	V0.5	build	M	Gate tracing and inspection behind Capabilities with payload redaction	INV-0470	Implements decide-trace-access-policy: trace and inspect requests carry a Capability, message payloads are redacted unless the holder has rights on the Channel, and trace buffers are charged to the requester's ResourceDomain.	OBS-024
OBS-@trace-export-offline	V1	build	M	Export os trace sessions in the decided format for offline viewing	INV-0473,GAP-0533	V1 exit: `os trace` exports a session that can be viewed offline. Implements decide-trace-export-format including the schema registry external tools use to decode events.	OBS-041
OBS-@trace-filter-dynamic	V0.5	build	M	Enable and disable tracing at runtime per primitive, Component and ResourceDomain	INV-0469	Critique moves per-domain dynamic enable out of V0; V0.5 multi-application desktop is where selective tracing first matters. Includes in-kernel filtering so disabled scopes pay near zero.	OBS-025
OBS-@trace-interface-stability-doc	1.0	docs	S	Publish the 1.x stability statement for inspection and trace interfaces		1.0 exit: Layer 2 supported interface versions listed in a published compatibility document with deprecation policy; covers the inspect and trace interfaces.	OBS-056
OBS-@trace-ring-core	V0	build	L	Implement the structured semantic trace ring with runtime global enable	INV-0467,INV-0468,INV-0471	V0 exit requires `os trace` for the demo; typed-field records named in primitive terms (Channel send, Operation complete), never free-form strings or raw kernel internals. Depends on decide-tracing-substrate.	OBS-011
OBS-@wait-graph-hang-detection	V2	build	M	Detect hung Tasks and wait cycles from waiting-on relationships and dump them		V2 exit demands zero P0/P1 on the 40-scenario desktop script; hangs are the hardest class. Uses the waiting-on Operation data (INV-0383) to detect cycles and deadline overruns and emit a failure event with a wait-graph snapshot.	OBS-047
PKG-@advisory-matching-client	V3	build	M	Match installed SystemGenerations against advisories and surface fixing generations	GAP-0353	V3 security response process; REL publishes advisories, PKG matches locally.	PKG-081
PKG-@atomic-generation-commit-test	V3	build	M	Add the power-cut fault-injection test for atomic SystemGeneration commit	INV-0560	V3 updater auto-rollback and the 1.0 power-cut demo require that an interrupted update leaves either N or a complete N+1.	PKG-082
PKG-@bench-generation-rollback-time	V0.5	benchmark	S	Benchmark SystemGeneration rollback time		V0.5 benchmark gate: rollback time measured and published; re-cited by V3 and V4 gates.	PKG-001
PKG-@bench-generation-switch-time	V0.5	benchmark	S	Benchmark SystemGeneration switch time		V0.5 benchmark gate: generation switch time measured and published.	PKG-002
PKG-@bench-package-install-time	V0.5	benchmark	S	Benchmark Package install time on the 20-Package corpus		V0.5 benchmark gate: package install time measured and published; B-ID registered by BEN.	PKG-003
PKG-@bench-package-set-restore-time	V2	benchmark	S	Benchmark Package-set restore time	INV-0586	V2 benchmark gate: snapshot creation and restore time measured and published; STO owns snapshot creation.	PKG-068
PKG-@bench-store-dedup-ratio	V0.5	benchmark	S	Benchmark store deduplication ratio on the 20-Package corpus	INV-0547,INV-0512	V0.5 benchmark gate: store deduplication ratio measured and published.	PKG-004
PKG-@decide-app-state-restore-scope	V2	adr	S	Decide whether application-state restore is a 1.0 goal or non-goal	GAP-0544,INV-0587	Depends on spike-app-state-restore; §31 ambition must be settled before V4 feature freeze.	PKG-069
PKG-@decide-content-hash	V0.5	adr	S	Decide the content hash algorithm and chunking strategy for the store	GAP-0526,INV-0514,INV-0540	Hash identity appears in Package identifiers and signatures and cannot change later; depends on spike-store-dedup-measurement.	PKG-005
PKG-@decide-dependency-resolution	V0.5	adr	S	Decide dependency resolution semantics and lockfile location	INV-0549	Exact content-hash pins vs version ranges resolved at install time; §53 forbids launch-time resolution so this must be settled before the install path is built.	PKG-006
PKG-@decide-dependency-security-updates	V1	adr	S	Decide how security fixes reach a library pinned by many Packages	INV-0550	Rebuild and republish dependents vs grafting/substitution vs runtime relinking, without global mutation; needed before REL's first CVE response.	PKG-046
PKG-@decide-generation-boundary	V0.5	adr	S	Decide what is excluded from a SystemGeneration and how mutable state is separated	INV-0565	Answers the §30 question (user data, ApplicationData, logs, caches) so rollback never touches user data; prerequisite for generation-compose and the 1.0 rollback guarantee.	PKG-007
PKG-@decide-generation-materialisation	V0.5	adr	S	Decide how a SystemGeneration is materialised on disk	INV-0564	V0.5 exit requires the generation switching mechanism ADR; options: profile tree over the store, filesystem snapshot per generation, verified image per generation. Depends on STO filesystem adr.	PKG-008
PKG-@decide-immutable-packages	V0.5	adr	S	Decide that Package mutation is replaced by immutable Packages and SystemGenerations	INV-0077,INV-0526,INV-0041,INV-0043,INV-0553,INV-1298	§2 ADR; records the immutability invariants (no in-place mutation, no shared-filesystem writes, versioned generations) as the standing rule the immutability gate enforces.	PKG-009
PKG-@decide-lgpl-relinking	V0.5	adr	S	Decide how immutable Packages preserve LGPL relinking rights	GAP-0019	LGPL §6 substitution must survive content-addressed packaging (dynamic linking as separate objects vs shipped object files, and how a user substitutes a modified library object in a local generation); coordinated with GOV licensing policy.	PKG-010
PKG-@decide-manifest-schema	V0.5	adr	S	Decide the Package manifest schema shape and its Layer 2 evolution rules	INV-0527,INV-0233	V0.5 exit requires an accepted package manifest schema ADR; critique flags the schema as a hard-to-change Layer 2 decision depending on the SEC authority-source adr and grant taxonomy.	PKG-011
PKG-@decide-package-format	V0.5	adr	S	Decide the on-disk and on-wire Package format and its relation to the store	INV-0539	Content-addressed tree with manifest vs single signed archive; must be decided before the first immutable install.	PKG-012
PKG-@decide-per-package-dependencies	V0.5	adr	S	Decide that global dependency installation is replaced by per-Package dependency objects	INV-0078,INV-0544,INV-0546	§2 ADR deciding content-identity dependency references and the no-global-conflict invariant.	PKG-013
PKG-@decide-personality-packaging	V1	adr	S	Decide how Linux and Windows compatibility applications are packaged immutably	INV-0541	OCI images, Flatpak-like bundles and Wine prefixes must satisfy the no-mutation rule; V1 L2 corpus needs OCI and Flatpak.	PKG-047
PKG-@decide-reboot-free-switch	V2	adr	S	Decide whether SystemGeneration switches may apply without reboot	GAP-0244	kexec vs userspace-only live switch vs reboot-only; constrains BOOT lockdown and PCR policy and the V2 update UX promise.	PKG-070
PKG-@decide-restorable-state-classes	V1	adr	S	Decide which state classes are restorable at each milestone and in scope for 1.0	INV-0587	§31 long-term ambition must be scoped before V2 restore UI work; precedes restore-package-set and selective restore.	PKG-048
PKG-@decide-running-app-update	V1	adr	S	Decide running-application behaviour when its Package is replaced by a new generation	EXTRA-017	Critique missing requirement 17; options: old objects stay mapped until exit, restart prompt, deferred activation.	PKG-049
PKG-@decide-selective-restore	V2	adr	S	Decide selective restore semantics and how partial restore avoids inconsistency	INV-0589	Restore only apps or only OS must not produce unbootable or mismatched combinations.	PKG-071
PKG-@decide-store-layout	V0.5	adr	S	Decide the content-addressed store layout for Packages and SystemGenerations	GAP-0525,INV-0516	Persistent on-disk format shared by packages, generations and dev environments; V0.5 exit requires an accepted content-addressing scheme ADR. Options: Nix-style store paths, OSTree-style object repository, casync-like chunk store.	PKG-014
PKG-@decide-verified-once-trust	V1	adr	S	Decide the verified-once launch trust mechanism	INV-0639	Cached verification of mapped package objects needs a written mechanism before V1 signed activation. verification-cache implements hash caching; system-store-verity is STO's generation verity chain. Options: dm-verity-style block verification, signed content-store index, or per-launch hash of a small manifest.	PKG-050
PKG-@delta-object-transfer	V3	build	M	Implement delta object transfer for repository updates		V3 scope: updater with delta updates; store-level chunk or object diff fetch used by INS updater.	PKG-083
PKG-@dependent-rebuild-pipeline	V1	build	L	Implement the pinned-dependency fix propagation chosen by the security-updates adr	INV-0550	V1 signed repository delivers updates; a fixed library must reach every dependent package through the store.	PKG-051
PKG-@ecosystem-package-count	V2	build	S	Track and publish counts of native and personality Packages in the repository	INV-1108	§56.5 ecosystem metric; package kind metadata in the manifest, publication with REL.	PKG-072
PKG-@generation-boot-rollback-test	V0.5	build	M	Add the automated boot-menu test restoring previous kernel, compositor and Packages	INV-0568,INV-1186,INV-0560	V0.5 exit criterion and demo: install a package, roll back at the boot menu, package gone and previous state intact.	PKG-015
PKG-@generation-compose	V0.5	build	L	Compose SystemGeneration N+1 as a content-addressed tree sharing objects with N	INV-0560,INV-0522,INV-0516,INV-0043	§30 update creates a new generation and leaves N intact and bootable; new generation costs only its changed objects. INS image builder consumes this.	PKG-016
PKG-@generation-excluded-state	V0.5	build	M	Separate ApplicationData, logs and caches from the immutable SystemGeneration tree	INV-0565	Implements decide-generation-boundary so rollback never touches user data; with STO.	PKG-017
PKG-@generation-format-migration	V4	build	M	Implement store and generation format migration for V3 to V4 upgrades with rollback		V4 exit: 100 V3 installs upgraded through the update channel with rollback to V3 possible.	PKG-089
PKG-@generation-health-state	V2	build	M	Implement SystemGeneration health states so a failed boot auto-selects the previous one		V2 exit: fault-injected broken update automatically boots the previous generation on all three machines; BOOT boot counter and SVC boot-success reporting feed the state machine.	PKG-073
PKG-@generation-kernel-pin	V0.5	build	M	Pin the kernel image and modules in a SystemGeneration with BOOT selection	INV-0555	§30; selecting a previous generation at boot must restore the previous kernel (V0.5 exit). BOOT owns the bootloader entry format.	PKG-018
PKG-@generation-management-interface	V2	build	M	Expose a typed SystemGeneration management interface for settings and rollback UI		V2 exit: restore a previous generation from the settings UI; INS rollback UX (INV-1226, reassigned) and APP settings consume this interface.	PKG-074
PKG-@generation-object	V0.5	build	M	Define SystemGeneration as the platform object naming one bootable configuration	INV-0056,INV-0554	§30 fundamental abstraction; content-addressed tree with reserved signing fields.	PKG-019
PKG-@generation-retention-gc	V1	build	M	Implement SystemGeneration garbage collection with user-controlled retention	INV-0566	§30; daily-driving at V1 accumulates generations.	PKG-052
PKG-@generation-switch-cli	V0.5	build	M	Build `os generation list|switch|previous` setting the next-boot default	INV-0568,INV-1186	§60 simple system generations: create, list, boot previous.	PKG-020
PKG-@generation-userspace-pins	V0.5	build	M	Pin shell, compositor, system services and installed Packages in a SystemGeneration	INV-0556,INV-0557,INV-0558,INV-0559	§30 generation contents; consumed by SVC native init to start the pinned services.	PKG-021
PKG-@history-event-types-v1	V1	build	S	Record driver update and environment events in history	INV-0577	V1 exit: `os history` lists generation, package and environment events; HW firmware update service and ENV emit through the PKG log.	PKG-053
PKG-@history-log	V0.5	build	M	Implement the durable typed history event log for system state changes	INV-0571	§31 all state changes recorded as explicit typed events.	PKG-022
PKG-@history-package-events	V0.5	build	S	Record Package install, update and OS update events in history	INV-0573,INV-0574,INV-0576	§31 event catalogue for V0.5.	PKG-023
PKG-@immutability-gate	V0.5	build	S	Add the CI gate proving store and generation trees are never mutated in place	INV-1298,INV-0043,INV-0553,INV-0526	Enforcing task for Principle 7 and the §30 invariants: writes into the store or active generation fail with a typed error; lint forbids mutable paths in PKG code.	PKG-024
PKG-@install-make-available	V0.5	build	L	Implement install as make-available into the store and next SystemGeneration	INV-0533,INV-1183,INV-0041	§28 install semantics: fetch objects, register in the current or next generation, expose the launcher entry; V0.5 exit criterion.	PKG-025
PKG-@install-path-threat-model	V1	docs	S	Write the install and update path threat model citing the threat register		V1 risk: signed repository and trust roots are security-critical; SEC owns the system threat model, PKG contributes the supply-chain section.	PKG-054
PKG-@install-signature-verification	V1	build	M	Verify Package signatures against trust roots before activation and reject tampering	INV-0630,GAP-0323,INV-0540	V1 exit: tampered package rejected (tested); fills the reserved signing fields and extends the verification cache to signatures.	PKG-055
PKG-@manifest-dependencies	V0.5	build	S	Implement manifest Dependencies as content-addressed Package references	INV-0532,INV-0544	§29 dependencies referenced by content identity, never by mutable global name lookup.	PKG-026
PKG-@manifest-handler-declarations	V1	build	S	Declare handled content types and URL schemes in the Package manifest		Manifest side of the default-application registry (GAP-0280, reassigned to SVC); V1 daily-driving needs file and link opening to route through capabilities.	PKG-056
PKG-@manifest-lint	V0.5	build	S	Build the Package manifest validator and CI lint	INV-0536,INV-1182	Rejects manifests that request persistent services without an explicit capability grant (§21) and enforces schema validity for the four V0.5 apps.	PKG-027
PKG-@manifest-optional-capabilities	V2	build	M	Distinguish optional from required RequestedCapabilities and support degraded launch	INV-0531	V2 exit: capability requests denied at install while the application still launches in degraded mode where it declares optional capabilities.	PKG-075
PKG-@manifest-requested-capabilities	V0.5	build	M	Implement RequestedCapabilities in the manifest and launcher-time initial grant	INV-0531,INV-0212	§9.1 small initial capability set granted at start; drives SEC install-time review; depends on the SEC grant-taxonomy adr.	PKG-028
PKG-@manifest-reserve-signing-fields	V0.5	build	S	Reserve signature, signer and trust-policy fields in Package and generation manifests	EXTRA-067,GAP-0323	Critique ordering fix: fields reserved before the first immutable install so V1 signing is not a breaking format migration.	PKG-029
PKG-@manifest-resources-packagedata	V0.5	build	M	Implement Package Resources and read-only PackageData access	INV-0529,INV-0483	§25 PackageData storage object exposing bundled assets and localisation data read-only to the owning components.	PKG-030
PKG-@manifest-schema-core	V0.5	build	M	Implement the Package manifest schema with identity, version, Components and Interfaces	INV-0527,INV-1182,INV-0055,INV-0528,INV-0233,INV-0530	§28 Package definition; describes multi-component graphs with entry points, code objects, per-component capability requirements, connections and exposed typed interfaces.	PKG-031
PKG-@manifest-schema-lock	V4	build	S	Lock Package and generation manifest schema versions for 1.x with evolution tests	INV-0527	V4 exit: Layer 2 interface versions enumerated and locked with old/new evolution tests.	PKG-090
PKG-@manifest-semantic-interfaces	V1	build	S	Declare exposed semantic interfaces in the manifest Interfaces section	INV-0801,INV-0530	§42 semantic interface v0 for Terminal and Editor at V1; SEM registry consumes the declarations.	PKG-057
PKG-@multi-version-dependency-binding	V0.5	build	M	Bind each Package to its own dependency versions so multiple library versions coexist	INV-0545,INV-0546,INV-0544	§29 App A → Library 1.4, App B → Library 2.1 with no global conflict state.	PKG-032
PKG-@object-package-capability	V0.5	build	M	Define Object<Package> and Capability<Package> rights including a distinct install right	INV-0171,INV-0243	§7 kernel object model; install authority is a separate right so a test proves ImageDecoder and the other V0.5 apps hold no package installation authority. Coordinated with ABI and CAP.	PKG-033
PKG-@oci-layers-as-packages	V1	build	L	Import OCI images and Flatpak bundles into the store as immutable Packages	INV-0541	V1 L2 corpus requires an OCI container runtime and Flatpak; LNX owns the runtime, PKG owns storing layers as content-addressed objects.	PKG-058
PKG-@os-history-cli	V1	build	M	Build `os history` listing generation, Package and environment events	INV-0571	V1 exit: system history v1.	PKG-059
PKG-@os-package-cli-v0	V0.5	build	M	Build `os package install|remove|list` for local Package files	INV-0533,INV-0542	V0.5 scope: packages installed from local files; the four apps and the demo need it.	PKG-034
PKG-@os-restore-generation	V1	build	M	Build `os restore` to a previous SystemGeneration verified after a simulated bad update	INV-0579	V1 exit: restores kernel, packages and system configuration; CI test after a simulated bad update.	PKG-060
PKG-@package-builder-tool	V0.5	build	M	Build `os package build` producing deterministic content-addressed Packages	INV-0055,INV-0514	Needed to produce the four V0.5 application packages; two builds of identical content yield the same identity.	PKG-035
PKG-@package-corpus	V0.5	build	M	Assemble the 20-Package benchmark corpus from native apps and dependencies		V0.5 benchmark gate measures install time and dedup ratio on a corpus of 20 packages.	PKG-036
PKG-@package-format-reference	V1	docs	S	Write the Package format and manifest reference for SDK v1		SDK v1 ships at V1 and developers must package applications; DOC generates IDL docs but the format reference is PKG-authored.	PKG-061
PKG-@package-load-map	V0.5	build	M	Precompute the Package load map so Components map objects without launch-time lookup	INV-0999,INV-1013,INV-0628,INV-1009,INV-1011,INV-0629	§53 native startup path: resolution at build/install time, direct mapping of known objects; includes a trace-based test that launch performs no path lookup or dependency resolution. CMP performs the mapping.	PKG-037
PKG-@package-manager-update-query	V1	build	M	Build `os package update|query` creating a new SystemGeneration per update	INV-1201,INV-0560	§61 native package manager; update transactions land in generation N+1.	PKG-062
PKG-@package-object-store-schema	V0.5	build	L	Store Packages, binaries, assets and dependencies as deduplicated content-addressed objects	INV-0518,INV-0519,INV-0520,INV-0521,INV-0547,INV-0514	§27 object model over the STO content store; PKG owns the tree and manifest encoding, STO owns the storage substrate.	PKG-038
PKG-@package-publish-tool	V3	build	M	Build `os package publish` for third-party submission to the public repository		V3 exit: third-party developer publishes a native package from the SDK; REL owns review and signing service.	PKG-084
PKG-@packaging-guide	V3	docs	S	Write the public packaging guide for native and personality applications		V3 exit: public SDK guide reviewed; strangers must package and publish unaided.	PKG-085
PKG-@personality-runtime-pinning	V2	build	M	Pin personality runtime versions per application via Package multi-version	INV-0545	Critique missing requirement 30: multiple Wine/Proton builds coexist and are pinned per application; WIN surfaces it in UI.	PKG-076
PKG-@precompiled-artefacts	V1	build	M	Support content-addressed precompiled artefacts in Packages	INV-0633	§34 prelinked images, precompiled shaders and AOT Wasm stored as objects; WASM and GFX produce them.	PKG-063
PKG-@repository-client	V1	build	L	Build the repository client fetching Package objects and metadata from signed repositories	INV-1201	V1 exit: an update delivered from the repository creates a new generation; REL owns the repository server and signing.	PKG-064
PKG-@reproducible-package-identity-ci	V1	build	S	Add the two-builder identical Package identity CI check	INV-0514	V1 self-hosting exit requires bit-for-bit image reproducibility across two machines; BLD owns build reproducibility, PKG checks identity equality.	PKG-065
PKG-@restore-configuration	V3	build	M	Implement restore of system and application configuration from history	INV-0582	§31; 1.0 requires `os restore` to cover configuration.	PKG-086
PKG-@restore-package-set	V2	build	M	Implement restore of installed application set and Package versions from history	INV-0580,INV-0581,INV-0586	V2 exit: restore a previous package set from the UI relying on content-addressed sharing, not duplicate images.	PKG-077
PKG-@revocation-enforcement	V3	build	S	Refuse activation of revoked Packages and flag affected SystemGenerations		V3 exit: revocation drill; client must honour revocation lists from REL.	PKG-087
PKG-@rollback-guarantee-verification	1.0	build	M	Verify the update and rollback guarantee on every Tier 1 machine		1.0 exit: N ≥ 3 generations bootable, rollback preserves user data, fault-injected failure returns automatically, `os history` and `os restore` cover OS, packages and configuration; with INS and BOOT.	PKG-091
PKG-@running-app-update-behaviour	V1	build	M	Implement running-app update behaviour and the no-mixed-version-tree test	EXTRA-017	V1 update channel means packages are replaced under running components; test that no running Component observes a mixed-version tree.	PKG-066
PKG-@selective-restore	V2	build	M	Implement selective restore with consistency checks	INV-0589,INV-0586	V2 snapshots and rollback UI exposes partial restore; depends on decide-selective-restore.	PKG-078
PKG-@shared-verified-pages	V0.5	build	M	Share already-verified pages of identical objects across launches and applications	INV-1014,INV-0634	§34/§53 deduplicated dependency objects loaded once; physical-page identity test across two applications. Depends on MEM file mapping.	PKG-039
PKG-@spike-app-state-restore	V2	spike	M	Prototype application-state restore via checkpointing and cooperative state interfaces	GAP-0544	Evidence needed before scoping app-state restore in or out of 1.0.	PKG-079
PKG-@spike-store-dedup-measurement	V0.5	spike	M	Measure dedup ratio, update size and hash throughput on a realistic package set	GAP-0525,GAP-0526	GAP-0525 requires measuring dedup ratio and update size before choosing the store layout; GAP-0526 needs sha256 vs BLAKE3 and whole-object vs content-defined chunking numbers. Runs on Linux package corpora so it needs nothing from V0 native surfaces.	PKG-040
PKG-@store-object-gc	V1	build	M	Implement unreferenced store object collection safe for running Components	INV-0542,INV-0566	Objects no longer referenced by any generation or mapped component are reclaimed; complements generation retention.	PKG-067
PKG-@store-verify-repair	V3	build	M	Build `os store verify` and repair for corrupted generations in recovery		V3 exit: recovery environment restores a system whose current generation is corrupted; INS owns the recovery environment.	PKG-088
PKG-@study-nix-ostree-store	V0.5	spike	M	Study Nix, OSTree and casync stores, generations and rollback for PKG design	INV-1140	§58 research study that informs every V0.5 PKG adr (store layout, hash, materialisation); non-gating in V0, must precede the V0.5 decisions.	PKG-041
PKG-@test-conflicting-library-versions	V0.5	build	S	Add the two-application conflicting-library test with dedup verified by store size	INV-0548,INV-0547,INV-0545	V0.5 exit criterion: both run, share no mutable state, identical content deduplicated.	PKG-042
PKG-@uninstall-next-generation	V0.5	build	M	Implement uninstall as removal from the next SystemGeneration without deleting shared content	INV-0542	§28/§30; content referenced by other generations or packages must survive.	PKG-043
PKG-@verification-cache	V0.5	build	M	Verify Package content once and cache the result keyed by object identity	INV-0630	§34 verify once, cache aggressively; hash verification at V0.5, extended to signatures by install-signature-verification at V1.	PKG-044
PKG-@verified-once-launch	V0.5	adr	S	Decide verified-once launch trust for cached package objects	INV-0639	dm-verity-style, signed content-store index, or per-launch manifest hash. Must precede V0.5 immutable package mapping.	PKG-045
PKG-@wine-prefix-packaging	V2	build	M	Package Wine prefixes as immutable base layers with ApplicationData overlays	INV-0541	V2 Windows personality W1 gates; prefix mutation must land in ApplicationData, never in the package.	PKG-080
PWR-@attribute-energy-domains	V2	build	M	Attribute energy use to ResourceDomain for Settings		APP GAP-0312 requires per-application energy attribution that only ResourceDomain accounting can give (§23 energy policy). PWR maps RAPL/powercap samples onto domains so Settings can list them. SCH owns budgets; this task is the meter.	PWR-016
PWR-@bench-energy-intel	V1	benchmark	M	Publish idle power draw and battery runtime on the Intel laptop		V1 benchmark gate: idle power draw and battery runtime on the Intel laptop measured and published beside mainline Linux, no superiority claim. Runs B-031 under the V0.5 energy method; BEN owns the register.	PWR-006
PWR-@bench-energy-v3	V3	benchmark	S	Publish idle and mixed-workload energy on V3 laptops		V3 benchmark gate: energy and battery runtime re-measured on the laptops and published (B-031). Also required for the V3 rule that every §54 item has a public number on at least one Tier 1 machine.	PWR-025
PWR-@bench-energy-v4	V4	benchmark	S	Publish idle and mixed-workload energy on every Tier 1 laptop		V4 benchmark gate: idle and mixed-workload battery runtime published for every Tier 1 laptop beside mainline Linux on the same machine (B-031). Regression versus V3 per the register.	PWR-027
PWR-@bench-suspend-latency	V2	benchmark	S	Publish suspend and resume latency on both laptops		V2 benchmark gate: suspend and resume latency measured and published (B-030) from the cycle harness, beside mainline Linux and Windows on the same laptop where dual-boot exists.	PWR-017
PWR-@decide-hibernate-policy	V1	adr	S	Decide hibernation policy for 1.0		Synthesis PWR includes hibernation policy; V2 lists hibernate as optional. Decision must precede V2 implementation. Options: no hibernate in 1.0; suspend-then-hibernate after idle; full hibernate with encrypted image. SEC GAP-0201 owns disk-key eviction; STO owns swap/hibernate layout.	PWR-007
PWR-@decide-power-service-model	V0.5	adr	S	Decide the Layer 2 power service model over retained ACPI		Workstreams.md PWR scope (suspend/resume, battery, thermal, DPMS, frequency via Scheduling intent) needs a Decision before V1 implementation. Options: userspace Power Component over retained Linux ACPI; native kernel Object<Power> as Layer 1; logind-shaped native API (reject under §57). Must record that ACPI is preserved, not rewritten.	PWR-001
PWR-@decide-suspend-state	V0.5	adr	S	Decide the suspend state for V1 reference machines		V1 exit requires 200 of 200 suspend cycles on the Intel laptop and 100 of 100 on the AMD desktop. Options: s2idle only; S3 only; s2idle default with per-machine S3 fallback. Depends on spike-laptop-power-paths; hibernation is a later adr.	PWR-002
PWR-@declare-l2-candidates	V1	build	S	Declare Layer 2 power Interface freeze candidates		Ladder: Layer 2 evolution rules freeze at V1 with SDK v1; versions lock at V4. Names Power, Battery, DisplayPower, InhibitIdle and InhibitSuspend as freeze candidates citing the V0.5 spike and adr. ABI owns the surfaces register entry.	PWR-008
PWR-@enable-platform-pm	V1	build	M	Enable platform idle and frequency power management on reference machines	INV-1206,GAP-0313	Workstreams.md: frequency via Scheduling intent (§22). V1 B-031 idle-power gate needs retained Linux runtime PM, ASPM, NVMe APST and cpufreq/EPP modes that honour SCH hints, not a rewritten governor. SCH owns hint mapping; PWR enables and constrains the platform.	PWR-009
PWR-@implement-battery-reporting	V1	build	M	Implement Battery reporting for the Intel laptop	INV-1220	V1 scope: battery reporting on the Intel laptop (§61). Typed Battery Interface: charge fraction, rate, AC/DC, remaining-time estimate from platform data. APP owns the indicator; this task is the service.	PWR-010
PWR-@implement-brightness	V2	build	M	Implement display brightness policy including ambient-light option		V2 scope lists brightness. Critique item 36 (sensors: ambient-light auto-brightness) is in-or-out per HW; this task implements the brightness Interface and optional ALS path if HW leaves the class in. APP owns the slider.	PWR-018
